2019.06.16 12:54:03.848 INFO  Server.Server - Stopping server..
2019.06.16 12:54:30.399 INFO  Server.Server - Server starter at ServerSocket[addr=0.0.0.0/0.0.0.0,localport=5400]!
2019.06.16 12:54:30.399 INFO  Server.Server - Server starter at ServerSocket[addr=0.0.0.0/0.0.0.0,localport=5401]!
2019.06.16 12:54:30.403 INFO  Server.Server - Server's Strategy: ServerStrategySolveSearchProblem
2019.06.16 12:54:30.403 INFO  Server.Server - Server's Strategy: ServerStrategyGenerateMaze
2019.06.16 12:54:30.404 INFO  Server.Server - Server is waiting for clients...
2019.06.16 12:54:30.404 INFO  Server.Server - Server is waiting for clients...
2019.06.16 12:54:31.404 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:31.404 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:32.405 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:32.405 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:33.406 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:33.406 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:34.407 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:34.407 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:35.408 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:35.408 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:36.408 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:36.408 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:37.409 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:37.409 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:37.563 INFO  Server.Server - Client is connected to server (IP: ziv-PC/192.168.3.1, port: 5400)
2019.06.16 12:54:37.563 INFO  Server.Server - Client excepted: Socket[addr=/192.168.3.1,port=61731,localport=5400]
2019.06.16 12:54:37.565 INFO  Server.Server - Handling client with socket: Socket[addr=/192.168.3.1,port=61731,localport=5400]
2019.06.16 12:54:37.572 INFO  Server.Server - Server generating 10 by 10 maze
2019.06.16 12:54:37.577 INFO  Server.Server - Finished handle client: Socket[addr=/192.168.3.1,port=61731,localport=5400]
2019.06.16 12:54:38.410 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:38.564 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:39.411 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:39.565 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:40.412 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:40.565 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:41.413 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:41.566 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:42.414 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:42.567 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:43.415 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:43.567 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:44.415 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:44.567 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:45.416 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:45.568 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:46.416 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:46.568 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:47.418 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:47.570 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:48.418 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:48.570 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:49.419 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:49.571 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:50.419 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:50.572 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:51.420 DEBUG Server.Server - Socket Timeout - No clients pending!
